friends_count,favourites_count,followers_count,label,verified,listed_count
588,16,4,1,,0
693,597,57,1,,0
104,1150,15,1,,0
227,530,14,1,,0
519,653,18,1,,0
1998,1262,73,1,,1
1548,80,26,1,,0
1930,497,63,1,,0
501,1402,8,1,,1
1998,1108,48,1,,0
390,1283,35,1,,0
328,1273,7,1,,1
641,0,17,1,,0
630,0,20,1,,0
602,0,22,1,,0
592,0,14,1,,0
620,0,27,1,,0
639,0,32,1,,0
614,0,21,1,,0
650,0,23,1,,0
643,0,20,1,,0
641,0,23,1,,0
779,0,20,1,,0
622,0,16,1,,0
649,0,15,1,,0
756,0,29,1,,0
600,0,25,1,,0
621,0,22,1,,0
735,0,19,1,,0
625,0,25,1,,0
621,0,20,1,,0
638,0,12,1,,0
631,0,16,1,,0
623,0,29,1,,0
686,0,19,1,,0
619,0,24,1,,0
603,0,23,1,,0
602,0,27,1,,0
599,0,16,1,,0
663,0,20,1,,0
598,0,24,1,,0
637,0,16,1,,0
684,0,17,1,,0
609,0,21,1,,0
732,0,28,1,,0
630,0,16,1,,0
654,0,17,1,,0
638,0,18,1,,0
652,0,27,1,,0
599,0,23,1,,0
652,0,20,1,,0
609,0,22,1,,0
807,0,23,1,,0
638,0,24,1,,0
593,0,26,1,,0
671,0,22,1,,0
673,0,29,1,,0
722,0,20,1,,0
610,0,17,1,,0
655,0,24,1,,0
572,0,12,1,,0
669,0,27,1,,0
610,0,20,1,,0
651,0,42,1,,0
801,0,27,1,,0
599,0,31,1,,0
1221,0,30,1,,0
589,0,22,1,,0
748,0,30,1,,0
721,0,23,1,,0
585,0,27,1,,0
639,0,21,1,,0
504,0,26,1,,0
703,0,26,1,,0
615,0,11,1,,0
581,0,22,1,,0
681,1,19,1,,0
594,0,19,1,,0
665,0,35,1,,0
564,0,25,1,,0
581,0,21,1,,0
606,0,19,1,,0
579,0,28,1,,0
617,0,27,1,,0
731,0,25,1,,0
645,0,24,1,,0
603,0,32,1,,0
542,0,13,1,,0
568,0,13,1,,0
578,0,22,1,,0
624,0,18,1,,0
685,0,34,1,,0
599,0,19,1,,0
596,0,26,1,,0
629,0,26,1,,0
608,0,18,1,,0
586,0,11,1,,0
507,0,31,1,,0
672,0,24,1,,0
558,0,17,1,,0
742,0,25,1,,0
591,0,16,1,,0
582,0,28,1,,0
616,0,15,1,,0
635,0,23,1,,0
625,0,18,1,,0
688,0,16,1,,0
589,0,23,1,,0
550,0,21,1,,0
709,1,26,1,,0
528,0,20,1,,0
583,0,19,1,,0
1002,0,33,1,,0
560,0,30,1,,0
592,0,24,1,,0
559,0,23,1,,0
622,0,22,1,,0
678,0,24,1,,0
589,0,24,1,,0
566,0,27,1,,0
559,0,26,1,,0
590,0,20,1,,0
590,0,23,1,,0
541,0,22,1,,0
592,0,21,1,,0
556,0,23,1,,0
503,0,12,1,,0
509,0,22,1,,0
702,0,27,1,,0
752,0,25,1,,0
574,0,34,1,,0
526,0,24,1,,0
550,0,26,1,,0
562,0,20,1,,0
577,0,23,1,,0
611,0,28,1,,0
639,0,25,1,,0
552,0,16,1,,0
684,0,23,1,,0
698,0,27,1,,0
618,0,20,1,,0
558,0,15,1,,0
734,0,20,1,,0
