statuses_count,followers_count,friends_count,favourites_count,listed_count,sex_code,lang_code,tweets_per_day,account_age_days,description_length,default_profile,verified
20370.0,5470.0,2385.0,145.0,52.0,2,2,0,0,151,0,0
3131.0,506.0,381.0,9.0,40.0,-2,1,0,0,104,0,0
4024.0,264.0,87.0,323.0,16.0,0,1,0,0,22,0,0
40586.0,640.0,622.0,1118.0,32.0,0,1,0,0,36,0,0
2016.0,62.0,64.0,13.0,0.0,2,2,0,0,14,0,0
3603.0,138.0,179.0,53.0,1.0,2,2,0,0,37,0,0
1183.0,128.0,168.0,2.0,5.0,0,1,0,0,147,0,0
6194.0,1062.0,1770.0,597.0,5.0,2,2,0,0,63,0,0
10962.0,23368.0,958.0,590.0,715.0,2,1,0,0,68,0,0
10947.0,760.0,712.0,693.0,27.0,2,2,0,0,122,0,0
2754.0,477.0,218.0,224.0,13.0,-2,2,0,0,159,0,0
26713.0,1390.0,1177.0,914.0,68.0,0,1,0,0,17,0,0
4111.0,314.0,338.0,47.0,8.0,2,2,0,0,88,0,0
1441.0,97.0,203.0,25.0,2.0,2,2,0,0,83,0,0
1698.0,289.0,1930.0,45.0,3.0,0,2,0,0,12,0,0
402.0,93.0,78.0,36.0,4.0,2,2,0,0,43,0,0
16935.0,2242.0,918.0,44.0,124.0,-2,1,0,0,41,0,0
9437.0,689.0,891.0,199.0,37.0,0,2,0,0,154,0,0
3742.0,505.0,571.0,100.0,3.0,0,2,0,0,107,0,0
770.0,81.0,181.0,89.0,2.0,-2,2,0,0,134,0,0
1430.0,128.0,371.0,204.0,1.0,2,2,0,0,6,0,0
6996.0,899.0,305.0,346.0,28.0,-2,1,0,0,69,0,0
3284.0,375.0,1039.0,1.0,8.0,0,1,0,0,95,0,0
160.0,46.0,146.0,22.0,0.0,2,4,0,0,17,1,0
292.0,57.0,110.0,5.0,0.0,2,1,0,0,46,1,0
5876.0,616.0,647.0,1061.0,29.0,0,2,0,0,142,0,0
7534.0,1132.0,1096.0,6.0,52.0,-2,1,0,0,81,0,0
1294.0,254.0,276.0,89.0,8.0,2,2,0,0,116,0,0
6340.0,298.0,419.0,5.0,15.0,2,1,0,0,68,0,0
5472.0,6352.0,3873.0,65.0,11.0,2,2,0,0,157,0,0
22540.0,2065.0,1125.0,0.0,64.0,0,2,0,0,91,0,0
732.0,85.0,338.0,16.0,3.0,0,1,0,0,42,0,0
38781.0,623.0,323.0,1209.0,22.0,0,1,0,0,143,0,0
10451.0,1265.0,323.0,38.0,24.0,0,2,0,0,151,0,0
2784.0,256.0,873.0,284.0,2.0,0,2,0,0,51,0,0
823.0,43.0,109.0,5.0,1.0,2,2,0,0,15,0,0
442.0,79.0,259.0,0.0,3.0,0,1,0,0,44,1,0
350.0,86.0,131.0,116.0,3.0,-2,1,0,0,151,0,0
3694.0,393.0,1047.0,6.0,8.0,0,1,0,0,159,0,0
9686.0,208.0,196.0,219.0,4.0,0,2,0,0,75,0,0
16427.0,555.0,755.0,8.0,18.0,-2,1,0,0,51,0,0
1006.0,85.0,121.0,19.0,1.0,-2,1,0,0,75,0,0
1122.0,300.0,951.0,8.0,6.0,2,2,0,0,32,0,0
1386.0,88.0,267.0,106.0,0.0,2,1,0,0,25,0,0
18267.0,1964.0,2003.0,22732.0,4.0,0,2,0,0,134,0,0
15365.0,3813.0,1505.0,550.0,63.0,2,1,0,0,121,0,0
2242.0,552.0,1446.0,13.0,8.0,2,1,0,0,146,0,0
4149.0,279.0,64.0,20.0,22.0,0,1,0,0,110,0,0
8384.0,2526.0,299.0,1178.0,41.0,2,2,0,0,148,0,0
612.0,100.0,259.0,24.0,2.0,0,2,0,0,33,0,0
660.0,126.0,407.0,0.0,0.0,2,1,0,0,28,0,0
5287.0,849.0,1846.0,117.0,3.0,2,2,0,0,73,0,0
2275.0,165.0,285.0,181.0,4.0,-2,1,0,0,16,0,0
3551.0,87.0,174.0,7.0,2.0,0,1,0,0,101,0,0
282.0,12.0,36.0,6.0,0.0,2,2,0,0,59,0,0
493.0,47.0,80.0,24.0,0.0,-2,2,0,0,36,0,0
1012.0,283.0,268.0,15.0,3.0,2,1,0,0,160,0,0
1706.0,134.0,257.0,0.0,2.0,2,1,0,0,43,0,0
103.0,45.0,66.0,0.0,0.0,2,2,0,0,6,0,0
189.0,35.0,178.0,6.0,0.0,2,2,0,0,36,0,0
3720.0,179.0,154.0,6.0,2.0,2,1,0,0,18,0,0
1566.0,110.0,295.0,71.0,1.0,2,1,0,0,102,0,0
1672.0,627.0,1089.0,11.0,4.0,2,2,0,0,82,0,0
969.0,69.0,210.0,233.0,1.0,-2,2,0,0,15,0,0
7307.0,378.0,239.0,2620.0,30.0,2,3,0,0,22,0,0
4240.0,1012.0,1449.0,578.0,25.0,-2,2,0,0,82,0,0
74.0,16.0,42.0,88.0,0.0,-2,1,0,0,37,1,0
6866.0,463.0,330.0,2180.0,5.0,0,1,0,0,40,0,0
31546.0,151.0,301.0,294.0,2.0,-2,2,0,0,24,0,0
966.0,69.0,318.0,3.0,0.0,-2,1,0,0,61,0,0
28808.0,2638.0,1743.0,1021.0,39.0,0,2,0,0,106,0,0
386.0,88.0,205.0,25.0,1.0,-2,2,0,0,149,0,0
3763.0,1169.0,1642.0,32.0,7.0,2,2,0,0,136,0,0
522.0,319.0,793.0,10.0,11.0,-2,1,0,0,65,1,0
30547.0,445.0,489.0,304.0,16.0,-2,1,0,0,102,0,0
6175.0,362.0,318.0,181.0,11.0,2,1,0,0,116,0,0
348.0,262.0,1513.0,28.0,1.0,2,2,0,0,23,0,0
484.0,232.0,431.0,10.0,0.0,-2,1,0,0,160,1,0
2190.0,46.0,122.0,15.0,0.0,0,2,0,0,75,0,0
116.0,22.0,49.0,16.0,0.0,-2,1,0,0,140,0,0
482.0,26.0,73.0,5.0,0.0,2,2,0,0,130,0,0
344.0,49.0,20.0,37.0,0.0,0,2,0,0,13,0,0
1805.0,258.0,191.0,4.0,14.0,2,1,0,0,122,0,0
748.0,85.0,460.0,80.0,1.0,2,1,0,0,65,0,0
34917.0,1161.0,194.0,2.0,28.0,-2,1,0,0,37,1,0
3397.0,173.0,390.0,3.0,2.0,-1,1,0,0,118,0,0
5561.0,587.0,295.0,4.0,9.0,-2,2,0,0,150,0,0
3526.0,257.0,473.0,8.0,1.0,0,2,0,0,66,0,0
371.0,413.0,70.0,9.0,6.0,2,2,0,0,25,0,0
1361.0,149.0,463.0,289.0,2.0,2,2,0,0,33,0,0
887.0,280.0,502.0,13.0,1.0,0,2,0,0,95,0,0
3276.0,125.0,549.0,224.0,2.0,-2,1,0,0,73,0,0
971.0,48.0,112.0,8.0,1.0,0,2,0,0,54,1,0
8173.0,231.0,433.0,413.0,3.0,2,2,0,0,115,0,0
728.0,120.0,406.0,16.0,1.0,2,2,0,0,27,0,0
350.0,46.0,115.0,240.0,1.0,-2,2,0,0,60,0,0
9626.0,508.0,1153.0,3819.0,0.0,2,2,0,0,123,0,0
4736.0,414.0,1196.0,166.0,2.0,2,2,0,0,159,0,0
732.0,191.0,656.0,1.0,1.0,2,2,0,0,157,0,0
516.0,46.0,96.0,28.0,0.0,-2,1,0,0,102,0,0
8635.0,1707.0,1376.0,3266.0,67.0,-2,1,0,0,119,0,0
2935.0,184.0,302.0,1.0,5.0,-2,3,0,0,48,0,0
1030.0,369.0,202.0,1.0,13.0,2,2,0,0,28,1,0
2035.0,209.0,168.0,216.0,2.0,-2,1,0,0,32,0,0
3152.0,162.0,352.0,23.0,7.0,0,2,0,0,61,0,0
6131.0,488.0,366.0,1058.0,10.0,0,2,0,0,62,0,0
3902.0,290.0,347.0,918.0,12.0,2,2,0,0,112,1,0
4357.0,231.0,152.0,90.0,0.0,0,1,0,0,37,0,0
18810.0,685.0,688.0,12.0,29.0,0,1,0,0,160,0,0
3302.0,370.0,934.0,103.0,7.0,0,2,0,0,75,0,0
160.0,23.0,227.0,1.0,0.0,2,1,0,0,72,0,0
6002.0,272.0,336.0,0.0,15.0,0,2,0,0,105,0,0
1781.0,105.0,427.0,234.0,0.0,2,1,0,0,118,0,0
1184.0,75.0,138.0,0.0,0.0,2,2,0,0,88,0,0
13159.0,501.0,697.0,79.0,11.0,0,2,0,0,83,0,0
280.0,50.0,1273.0,8.0,1.0,2,1,0,0,16,0,0
5237.0,245.0,241.0,115.0,4.0,2,1,0,0,158,1,0
611.0,87.0,173.0,1.0,1.0,2,2,0,0,160,1,0
835.0,111.0,768.0,36.0,0.0,2,2,0,0,31,0,0
1187.0,44.0,136.0,19.0,1.0,-2,2,0,0,62,0,0
2185.0,74.0,345.0,32.0,1.0,0,1,0,0,97,0,0
148.0,249.0,548.0,1.0,1.0,-2,1,0,0,94,0,0
1073.0,89.0,237.0,53.0,1.0,-2,2,0,0,143,0,0
127.0,23.0,152.0,1.0,0.0,2,1,0,0,47,0,0
1601.0,147.0,405.0,9.0,3.0,-2,2,0,0,160,0,0
704.0,129.0,380.0,12.0,0.0,2,1,0,0,63,1,0
57.0,76.0,650.0,0.0,0.0,-2,1,0,0,33,0,0
552.0,80.0,290.0,11.0,1.0,-2,2,0,0,78,0,0
4862.0,116.0,160.0,98.0,2.0,2,1,0,0,52,0,0
1652.0,412.0,1974.0,4.0,3.0,2,2,0,0,33,0,0
1786.0,63.0,185.0,342.0,2.0,0,1,0,0,26,0,0
238.0,45.0,99.0,39.0,0.0,2,2,0,0,149,0,0
764.0,99.0,226.0,22.0,0.0,-2,2,0,0,67,0,0
5745.0,641.0,1221.0,95.0,5.0,2,2,0,0,139,0,0
2703.0,170.0,635.0,4.0,0.0,-2,2,0,0,37,0,0
2683.0,57.0,215.0,82.0,0.0,2,2,0,0,58,0,0
2064.0,238.0,590.0,26.0,5.0,0,2,0,0,101,0,0
709.0,116.0,112.0,124.0,2.0,0,2,0,0,32,0,0
2893.0,160.0,227.0,71.0,4.0,-2,2,0,0,142,0,0
1425.0,83.0,70.0,616.0,1.0,0,1,0,0,149,0,0
246.0,333.0,1598.0,10.0,0.0,-1,1,0,0,132,0,0
519.0,139.0,454.0,17.0,3.0,0,1,0,0,120,1,0
1876.0,120.0,146.0,112.0,0.0,2,1,0,0,43,0,0
13774.0,254.0,192.0,520.0,5.0,2,2,0,0,100,0,0
16195.0,5027.0,5530.0,6698.0,73.0,2,2,0,0,159,1,0
3885.0,2812.0,1988.0,966.0,45.0,0,2,0,0,26,0,0
9147.0,100.0,162.0,369.0,4.0,-2,2,0,0,22,0,0
80.0,54.0,187.0,46.0,1.0,2,2,0,0,18,1,0
684.0,65.0,281.0,1.0,0.0,2,2,0,0,91,0,0
351.0,28.0,76.0,3.0,1.0,-2,2,0,0,129,0,0
6351.0,98.0,75.0,127.0,4.0,0,2,0,0,3,1,0
